+-------------------------------------------------------------------------------------+--------------------------------------+------------------------------------+--------+------------------+
|                                       MODULE                                        |               VERSION                |            NEW VERSION             | DIRECT | VALID TIMESTAMPS |
| cloud.google.com/go/networkconnectivity                                             | v1.28.0                              |                                    | false  | true             |
| cloud.google.com/go/networkmanagement                                               | v1.30.0                              |                                    | false  | true             |
| cloud.google.com/go/networksecurity                                                 | v0.19.0                              |                                    | false  | true             |
| cloud.google.com/go/notebooks                                                       | v1.18.0                              |                                    | false  | true             |
| cloud.google.com/go/optimization                                                    | v1.12.0                              |                                    | false  | true             |
| cloud.google.com/go/orchestration                                                   | v1.17.0                              |                                    | false  | true             |
| cloud.google.com/go/orgpolicy                                                       | v1.20.0                              |                                    | false  | true             |
| cloud.google.com/go/osconfig                                                        | v1.22.0                              |                                    | false  | true             |
| cloud.google.com/go/oslogin                                                         | v1.18.0                              |                                    | false  | true             |
| cloud.google.com/go/phishingprotection                                              | v0.13.0                              |                                    | false  | true             |
| cloud.google.com/go/policytroubleshooter                                            | v1.16.0                              |                                    | false  | true             |
| cloud.google.com/go/privatecatalog                                                  | v0.16.0                              |                                    | false  | true             |
| cloud.google.com/go/pubsublite                                                      | v1.10.0                              |                                    | false  | true             |
| cloud.google.com/go/recaptchaenterprise/v2                                          | v2.26.0                              |                                    | false  | true             |
| cloud.google.com/go/recommendationengine                                            | v0.15.0                              |                                    | false  | true             |
| cloud.google.com/go/recommender                                                     | v1.19.0                              |                                    | false  | true             |
| cloud.google.com/go/redis                                                           | v1.25.0                              |                                    | false  | true             |
| cloud.google.com/go/resourcemanager                                                 | v1.16.0                              |                                    | false  | true             |
| cloud.google.com/go/resourcesettings                                                | v1.8.3                               |                                    | false  | true             |
| cloud.google.com/go/retail                                                          | v1.32.0                              |                                    | false  | true             |
| cloud.google.com/go/run                                                             | v1.22.0                              |                                    | false  | true             |
| cloud.google.com/go/scheduler                                                       | v1.16.0                              |                                    | false  | true             |
| cloud.google.com/go/secretmanager                                                   | v1.21.0                              |                                    | false  | true             |
| cloud.google.com/go/security                                                        | v1.26.0                              |                                    | false  | true             |
| cloud.google.com/go/securitycenter                                                  | v1.46.0                              |                                    | false  | true             |
| cloud.google.com/go/servicedirectory                                                | v1.17.0                              |                                    | false  | true             |
| cloud.google.com/go/shell                                                           | v1.13.0                              |                                    | false  | true             |
| cloud.google.com/go/spanner                                                         | v1.94.0                              |                                    | false  | true             |
| cloud.google.com/go/speech                                                          | v1.36.0                              |                                    | false  | true             |
| cloud.google.com/go/storage                                                         | v1.64.0                              |                                    | false  | true             |
| cloud.google.com/go/storagetransfer                                                 | v1.19.0                              |                                    | false  | true             |
| cloud.google.com/go/talent                                                          | v1.14.0                              |                                    | false  | true             |
| cloud.google.com/go/texttospeech                                                    | v1.22.0                              |                                    | false  | true             |
| cloud.google.com/go/tpu                                                             | v1.14.0                              |                                    | false  | true             |
| cloud.google.com/go/trace                                                           | v1.16.0                              |                                    | false  | true             |
| cloud.google.com/go/translate                                                       | v1.18.0                              |                                    | false  | true             |
| cloud.google.com/go/video                                                           | v1.33.0                              |                                    | false  | true             |
| cloud.google.com/go/videointelligence                                               | v1.17.0                              |                                    | false  | true             |
| cloud.google.com/go/vision/v2                                                       | v2.15.0                              |                                    | false  | true             |
| cloud.google.com/go/vmmigration                                                     | v1.16.0                              |                                    | false  | true             |
| cloud.google.com/go/vmwareengine                                                    | v1.9.0                               |                                    | false  | true             |
| cloud.google.com/go/vpcaccess                                                       | v1.14.0                              |                                    | false  | true             |
| cloud.google.com/go/webrisk                                                         | v1.17.0                              |                                    | false  | true             |
| cloud.google.com/go/websecurityscanner                                              | v1.12.0                              |                                    | false  | true             |
| cloud.google.com/go/workflows                                                       | v1.20.0                              |                                    | false  | true             |
| codeberg.org/chavacava/garif                                                        | v0.2.0                               | v0.2.1                             | false  | true             |
| codeberg.org/polyfloyd/go-errorlint                                                 | v1.9.0                               |                                    | false  | true             |
| dev.gaijin.team/go/exhaustruct/v4                                                   | v4.0.0                               |                                    | false  | true             |
| dev.gaijin.team/go/golib                                                            | v0.6.0                               | v0.8.1                             | false  | true             |
| github.com/4meepo/tagalign                                                          | v1.4.3                               |                                    | false  | true             |
| github.com/Abirdcfly/dupword                                                        | v0.1.7                               | v0.1.8                             | false  | true             |
| github.com/AdminBenni/iota-mixing                                                   | v1.0.0                               |                                    | false  | true             |
| github.com/AlwxSin/noinlineerr                                                      | v1.0.5                               |                                    | false  | true             |
| github.com/Antonboom/errname                                                        | v1.1.1                               | v1.1.2                             | false  | true             |
| github.com/Antonboom/nilnil                                                         | v1.1.1                               | v1.1.2                             | false  | true             |
| github.com/Antonboom/testifylint                                                    | v1.6.4                               |                                    | false  | true             |
| github.com/Azure/azure-sdk-for-go/sdk/azcore                                        | v1.22.0                              |                                    | false  | true             |
| github.com/Azure/azure-sdk-for-go/sdk/azidentity                                    | v1.14.0                              |                                    | false  | true             |
| github.com/Azure/azure-sdk-for-go/sdk/azidentity/cache                              | v0.4.0                               |                                    | false  | true             |
| github.com/Azure/azure-sdk-for-go/sdk/internal                                      | v1.12.0                              |                                    | false  | true             |
| github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/storage/armstorage            | v1.8.1                               |                                    | false  | true             |
| github.com/Azure/azure-sdk-for-go/sdk/storage/azblob                                | v1.8.0                               |                                    | false  | true             |
| github.com/AzureAD/microsoft-authentication-extensions-for-go/cache                 | v0.1.1                               |                                    | false  | true             |
| github.com/AzureAD/microsoft-authentication-library-for-go                          | v1.8.0                               |                                    | false  | true             |
| github.com/BurntSushi/toml                                                          | v1.6.0                               |                                    | false  | true             |
| github.com/ClickHouse/clickhouse-go-linter                                          | v1.2.0                               | v1.2.1                             | false  | true             |
| github.com/DataDog/zstd                                                             | v1.5.7                               |                                    | false  | true             |
| github.com/Djarvur/go-err113                                                        | v0.1.1                               |                                    | false  | true             |
| github.com/FastFilter/xorfilter                                                     | v0.5.1                               |                                    | false  | true             |
| github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp            | v1.35.0                              |                                    | false  | true             |
| github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric          | v0.59.0                              |                                    | false  | true             |
| github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/cloudmock       | v0.59.0                              |                                    | false  | true             |
| github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/resourcemapping | v0.59.0                              |                                    | false  | true             |
| github.com/HdrHistogram/hdrhistogram-go                                             | v1.1.2                               | v1.3.0                             | false  | true             |
| github.com/Masterminds/semver/v3                                                    | v3.5.0                               |                                    | false  | true             |
| github.com/Microsoft/go-winio                                                       | v0.6.2                               |                                    | false  | true             |
| github.com/MirrexOne/unqueryvet                                                     | v1.5.4                               |                                    | false  | true             |
| github.com/OpenPeeDeeP/depguard/v2                                                  | v2.2.1                               |                                    | false  | true             |
| github.com/RaduBerinde/axisds/v3                                                    | v3.0.0-20260318150237-54e03a7b4b4a   |                                    | false  | true             |
| github.com/RaduBerinde/btreemap                                                     | v0.0.0-20260105202824-d3184786f603   |                                    | false  | true             |
| github.com/RaduBerinde/tdigest                                                      | v0.0.0-20251022152254-90e030c3a314   |                                    | false  | true             |
| github.com/ThalesGroup/crypto11                                                     | v1.5.0                               | v1.6.8                             | false  | true             |
