+-------------------------------------------------------------------------------------+-------------------------------------------+------------------------------------+--------+------------------+
|                                       MODULE                                        |                  VERSION                  |            NEW VERSION             | DIRECT | VALID TIMESTAMPS |
| cloud.google.com/go/language                                                        | v1.14.3                                   | v1.18.0                            | false  | true             |
| cloud.google.com/go/lifesciences                                                    | v0.10.3                                   | v0.16.0                            | false  | true             |
| cloud.google.com/go/logging                                                         | v1.13.0                                   | v1.19.0                            | false  | true             |
| cloud.google.com/go/longrunning                                                     | v0.6.4                                    | v1.2.0                             | false  | true             |
| cloud.google.com/go/managedidentities                                               | v1.7.3                                    | v1.13.0                            | false  | true             |
| cloud.google.com/go/maps                                                            | v1.17.1                                   | v1.39.0                            | false  | true             |
| cloud.google.com/go/mediatranslation                                                | v0.9.3                                    | v0.13.0                            | false  | true             |
| cloud.google.com/go/memcache                                                        | v1.11.3                                   | v1.17.0                            | false  | true             |
| cloud.google.com/go/metastore                                                       | v1.14.3                                   | v1.20.0                            | false  | true             |
| cloud.google.com/go/monitoring                                                      | v1.24.0                                   | v1.30.0                            | false  | true             |
| cloud.google.com/go/networkconnectivity                                             | v1.16.1                                   | v1.28.0                            | false  | true             |
| cloud.google.com/go/networkmanagement                                               | v1.18.0                                   | v1.30.0                            | false  | true             |
| cloud.google.com/go/networksecurity                                                 | v0.10.3                                   | v0.19.0                            | false  | true             |
| cloud.google.com/go/notebooks                                                       | v1.12.3                                   | v1.18.0                            | false  | true             |
| cloud.google.com/go/optimization                                                    | v1.7.3                                    | v1.12.0                            | false  | true             |
| cloud.google.com/go/orchestration                                                   | v1.11.4                                   | v1.17.0                            | false  | true             |
| cloud.google.com/go/orgpolicy                                                       | v1.14.2                                   | v1.20.0                            | false  | true             |
| cloud.google.com/go/osconfig                                                        | v1.14.3                                   | v1.22.0                            | false  | true             |
| cloud.google.com/go/oslogin                                                         | v1.14.3                                   | v1.18.0                            | false  | true             |
| cloud.google.com/go/phishingprotection                                              | v0.9.3                                    | v0.13.0                            | false  | true             |
| cloud.google.com/go/policytroubleshooter                                            | v1.11.3                                   | v1.16.0                            | false  | true             |
| cloud.google.com/go/privatecatalog                                                  | v0.10.4                                   | v0.16.0                            | false  | true             |
| cloud.google.com/go/pubsub                                                          | v1.45.3                                   | v1.51.0                            | false  | true             |
| cloud.google.com/go/pubsublite                                                      | v1.8.2                                    | v1.10.0                            | false  | true             |
| cloud.google.com/go/recaptchaenterprise/v2                                          | v2.19.4                                   | v2.26.0                            | false  | true             |
| cloud.google.com/go/recommendationengine                                            | v0.9.3                                    | v0.15.0                            | false  | true             |
| cloud.google.com/go/recommender                                                     | v1.13.3                                   | v1.19.0                            | false  | true             |
| cloud.google.com/go/redis                                                           | v1.17.3                                   | v1.25.0                            | false  | true             |
| cloud.google.com/go/resourcemanager                                                 | v1.10.3                                   | v1.16.0                            | false  | true             |
| cloud.google.com/go/resourcesettings                                                | v1.8.3                                    |                                    | false  | true             |
| cloud.google.com/go/retail                                                          | v1.19.2                                   | v1.32.0                            | false  | true             |
| cloud.google.com/go/run                                                             | v1.8.1                                    | v1.22.0                            | false  | true             |
| cloud.google.com/go/scheduler                                                       | v1.11.3                                   | v1.16.0                            | false  | true             |
| cloud.google.com/go/secretmanager                                                   | v1.14.3                                   | v1.21.0                            | false  | true             |
| cloud.google.com/go/security                                                        | v1.18.3                                   | v1.26.0                            | false  | true             |
| cloud.google.com/go/securitycenter                                                  | v1.35.3                                   | v1.46.0                            | false  | true             |
| cloud.google.com/go/servicedirectory                                                | v1.12.3                                   | v1.17.0                            | false  | true             |
| cloud.google.com/go/shell                                                           | v1.8.3                                    | v1.13.0                            | false  | true             |
| cloud.google.com/go/spanner                                                         | v1.73.0                                   | v1.94.0                            | false  | true             |
| cloud.google.com/go/speech                                                          | v1.26.0                                   | v1.36.0                            | false  | true             |
| cloud.google.com/go/storage                                                         | v1.50.0                                   | v1.64.0                            | false  | true             |
| cloud.google.com/go/storagetransfer                                                 | v1.12.1                                   | v1.19.0                            | false  | true             |
| cloud.google.com/go/talent                                                          | v1.8.0                                    | v1.14.0                            | false  | true             |
| cloud.google.com/go/texttospeech                                                    | v1.11.0                                   | v1.22.0                            | false  | true             |
| cloud.google.com/go/tpu                                                             | v1.8.0                                    | v1.14.0                            | false  | true             |
| cloud.google.com/go/trace                                                           | v1.11.3                                   | v1.16.0                            | false  | true             |
| cloud.google.com/go/translate                                                       | v1.12.3                                   | v1.18.0                            | false  | true             |
| cloud.google.com/go/video                                                           | v1.23.3                                   | v1.33.0                            | false  | true             |
| cloud.google.com/go/videointelligence                                               | v1.12.3                                   | v1.17.0                            | false  | true             |
| cloud.google.com/go/vision/v2                                                       | v2.9.3                                    | v2.15.0                            | false  | true             |
| cloud.google.com/go/vmmigration                                                     | v1.8.3                                    | v1.16.0                            | false  | true             |
| cloud.google.com/go/vmwareengine                                                    | v1.3.3                                    | v1.9.0                             | false  | true             |
| cloud.google.com/go/vpcaccess                                                       | v1.8.3                                    | v1.14.0                            | false  | true             |
| cloud.google.com/go/webrisk                                                         | v1.10.3                                   | v1.17.0                            | false  | true             |
| cloud.google.com/go/websecurityscanner                                              | v1.7.3                                    | v1.12.0                            | false  | true             |
| cloud.google.com/go/workflows                                                       | v1.13.3                                   | v1.20.0                            | false  | true             |
| github.com/Azure/azure-sdk-for-go/sdk/azcore                                        | v1.18.1                                   | v1.22.0                            | false  | true             |
| github.com/Azure/azure-sdk-for-go/sdk/azidentity                                    | v1.10.1                                   | v1.14.0                            | false  | true             |
| github.com/Azure/azure-sdk-for-go/sdk/internal                                      | v1.11.1                                   | v1.12.0                            | false  | true             |
| github.com/Azure/azure-sdk-for-go/sdk/storage/azblob                                | v1.6.1                                    | v1.8.0                             | false  | true             |
| github.com/AzureAD/microsoft-authentication-library-for-go                          | v1.4.2                                    | v1.8.0                             | false  | true             |
| github.com/BurntSushi/toml                                                          | v1.4.0                                    | v1.6.0                             | false  | true             |
| github.com/DataDog/zstd                                                             | v1.5.7                                    |                                    | false  | true             |
| github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp            | v1.26.0                                   | v1.35.0                            | false  | true             |
| github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric          | v0.50.0                                   | v0.59.0                            | false  | true             |
| github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/cloudmock       | v0.50.0                                   | v0.59.0                            | false  | true             |
| github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/resourcemapping | v0.50.0                                   | v0.59.0                            | false  | true             |
| github.com/HdrHistogram/hdrhistogram-go                                             | v1.1.2                                    | v1.3.0                             | false  | true             |
| github.com/aclements/go-moremath                                                    | v0.0.0-20210112150236-f10218a38794        | v0.0.0-20241023150245-c8bbc672ef66 | false  | true             |
| github.com/alecthomas/kingpin/v2                                                    | v2.4.0                                    |                                    | false  | true             |
| github.com/alecthomas/template                                                      | v0.0.0-20190718012654-fb15b899a751        |                                    | false  | true             |
| github.com/alecthomas/units                                                         | v0.0.0-20211218093645-b94a6e3cc137        | v0.0.0-20240927000941-0f3dac36c52b | false  | true             |
| github.com/aliyun/aliyun-oss-go-sdk                                                 | v2.2.2+incompatible                       | v3.0.2+incompatible                | false  | true             |
| github.com/aws/aws-sdk-go-v2                                                        | v1.30.4                                   | v1.43.4                            | false  | true             |
| github.com/aws/aws-sdk-go-v2/config                                                 | v1.27.30                                  | v1.32.35                           | false  | true             |
| github.com/aws/aws-sdk-go-v2/credentials                                            | v1.17.29                                  | v1.19.34                           | false  | true             |
| github.com/aws/aws-sdk-go-v2/feature/ec2/imds                                       | v1.16.12                                  | v1.18.35                           | false  | true             |
| github.com/aws/aws-sdk-go-v2/internal/configsources                                 | v1.3.16                                   | v1.4.35                            | false  | true             |
| github.com/aws/aws-sdk-go-v2/internal/endpoints/v2                                  | v2.6.16                                   | v2.7.35                            | false  | true             |
| github.com/aws/aws-sdk-go-v2/internal/ini                                           | v1.8.1                                    | v1.8.6                             | false  | true             |
| github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding                       | v1.11.4                                   | v1.13.15                           | false  | true             |
| github.com/aws/aws-sdk-go-v2/service/internal/presigned-url                         | v1.11.18                                  | v1.13.35                           | false  | true             |
| github.com/aws/aws-sdk-go-v2/service/sso                                            | v1.22.5                                   | v1.33.4                            | false  | true             |
| github.com/aws/aws-sdk-go-v2/service/ssooidc                                        | v1.26.5                                   | v1.38.4                            | false  | true             |
| github.com/aws/aws-sdk-go-v2/service/sts                                            | v1.30.5                                   | v1.45.4                            | false  | true             |
| github.com/aws/smithy-go                                                            | v1.20.4                                   | v1.27.6                            | false  | true             |
| github.com/aymanbagabas/go-osc52/v2                                                 | v2.0.1                                    |                                    | false  | true             |
| github.com/aymanbagabas/go-udiff                                                    | v0.2.0                                    | v0.4.1                             | false  | true             |
| github.com/baidubce/bce-sdk-go                                                      | v0.9.111                                  | v0.9.273                           | false  | true             |
| github.com/baiyubin/aliyun-sts-go-sdk                                               | v0.0.0-20180326062324-cfa1a18b161f        |                                    | false  | true             |
| github.com/beorn7/perks                                                             | v1.0.1                                    |                                    | false  | true             |
| github.com/bits-and-blooms/bitset                                                   | v1.24.4                                   | v1.24.6                            | false  | true             |
| github.com/bits-and-blooms/bloom/v3                                                 | v3.7.0                                    | v3.7.1                             | true   | true             |
| github.com/bluele/gcache                                                            | v0.0.2                                    |                                    | false  | true             |
| github.com/census-instrumentation/opencensus-proto                                  | v0.4.1                                    |                                    | false  | true             |
| github.com/cespare/xxhash/v2                                                        | v2.3.0                                    |                                    | false  | true             |
| github.com/charmbracelet/lipgloss                                                   | v1.0.0                                    | v1.1.0                             | false  | true             |
| github.com/charmbracelet/x/ansi                                                     | v0.8.0                                    | v0.11.7                            | false  | true             |
| github.com/charmbracelet/x/exp/golden                                               | v0.0.0-20240806155701-69247e0abc2a        | v0.0.0-20260803091719-3755ebad01b1 | false  | true             |
| github.com/clbanning/mxj                                                            | v1.8.4                                    |                                    | false  | true             |
| github.com/cncf/xds/go                                                              | v0.0.0-20250121191232-2f005788dc42        | v0.0.0-20260202195803-dba9d589def2 | false  | true             |
| github.com/cockroachdb/datadriven                                                   | v1.0.3-0.20230413201302-be42291fc80f      |                                    | false  | true             |
| github.com/cockroachdb/errors                                                       | v1.12.0                                   | v1.14.0                            | false  | true             |
| github.com/cockroachdb/fifo                                                         | v0.0.0-20240606204812-0bbfbd93a7ce        | v0.0.0-20240816210425-c5d0cb0b6fc0 | false  | true             |
| github.com/cockroachdb/logtags                                                      | v0.0.0-20241215232642-bb51bb14a506        |                                    | false  | true             |
| github.com/cockroachdb/pebble                                                       | v1.1.5                                    |                                    | true   | true             |
| github.com/cockroachdb/redact                                                       | v1.1.6                                    | v1.1.8                             | false  | true             |
| github.com/cockroachdb/tokenbucket                                                  | v0.0.0-20250429170803-42689b6311bb        |                                    | false  | true             |
| github.com/cpuguy83/go-md2man/v2                                                    | v2.0.6                                    | v2.0.7                             | false  | true             |
| github.com/creack/pty                                                               | v1.1.9                                    | v1.1.24                            | false  | true             |
| github.com/davecgh/go-spew                                                          | v1.1.1                                    |                                    | false  | true             |
| github.com/dustin/go-humanize                                                       | v1.0.1                                    |                                    | true   | true             |
| github.com/efficientgo/core                                                         | v1.0.0-rc.0.0.20221201130417-ba593f67d2a4 | v1.0.0-rc.3                        | false  | true             |
| github.com/efficientgo/e2e                                                          | v0.13.1-0.20220922081603-45de9fc588a8     | v0.14.0                            | false  | true             |
| github.com/envoyproxy/go-control-plane                                              | v0.13.4                                   | v0.14.0                            | false  | true             |
| github.com/envoyproxy/go-control-plane/envoy                                        | v1.32.4                                   | v1.37.0                            | false  | true             |
| github.com/envoyproxy/go-control-plane/ratelimit                                    | v0.1.0                                    |                                    | false  | true             |
| github.com/envoyproxy/protoc-gen-validate                                           | v1.2.1                                    | v1.3.3                             | false  | true             |
| github.com/failsafe-go/failsafe-go                                                  | v0.9.6                                    |                                    | true   | true             |
| github.com/fatih/structs                                                            | v1.1.0                                    |                                    | true   | true             |
| github.com/fatih/structtag                                                          | v1.2.0                                    |                                    | false  | true             |
| github.com/felixge/httpsnoop                                                        | v1.0.4                                    | v1.1.0                             | false  | true             |
| github.com/fujiwara/shapeio                                                         | v1.0.0                                    | v1.1.0                             | true   | true             |
| github.com/fullstorydev/emulators/storage                                           | v1.0.0                                    |                                    | false  | true             |
